Abbottabad, Khyber Pakhtunkhwa, PK2, Abbottabad, PK201, Abbottabad, PK20101, 
Barkhan, Balochistan, PK7, Barkhan, PK702, Barkhan, PK70201, 
Barshore, Balochistan, PK7, Pishin, PK725, Barshore, PK72501, 
Batagram, Khyber Pakhtunkhwa, PK2, Batagram, PK203, Batagram, PK20302, 
Bela, Balochistan, PK7, Las Bela, PK718, Bela, PK71801, 
Besima, Balochistan, PK7, Washuk, PK729, Besima, PK72901, 
Bettani, Khyber Pakhtunkhwa, PK2, FR Lakki Marwat, PK242, Bettani, PK24201, 
Bhag, Balochistan, PK7, Lehri, PK732, Bhag, PK73201, 
Bhakkar, Punjab, PK6, Bhakkar, PK604, Bhakkar, PK60401, 
Bhalwal, Punjab, PK6, Sargodha, PK632, Bhalwal, PK63201, 
Bhiria, Sindh, PK8, Naushahro Feroze, PK813, Bhiria, PK81301, 
Birmal, Khyber Pakhtunkhwa, PK2, South Waziristan, PK238, Birmal, PK23801, 
Bisham, Khyber Pakhtunkhwa, PK2, Shangla, PK220, Bisham, PK22002, 
Buleda, Balochistan, PK7, Kech, PK712, Buleda, PK71202, 
Bulri Shah Karim, Sindh, PK8, Tando Muhammad Khan, PK820, Bulri Shah Karim, PK82003, 
Burewala, Punjab, PK6, Vehari, PK636, Burewala, PK63601, 
Central Kurram, Khyber Pakhtunkhwa, PK2, Kurram, PK234, Central Kurram, PK23401, 
Central Orakzai, Khyber Pakhtunkhwa, PK2, Orakzai, PK237, Central Orakzai, PK23701, 
Chachro, Sindh, PK8, Tharparkar, PK821, Chachro, PK82101, 
Chagai, Balochistan, PK7, Chagai, PK704, Chagai, PK70401, 
Chagharzai, Khyber Pakhtunkhwa, PK2, Buner, PK204, Chagharzai, PK20401, 
Chak Jhumra, Punjab, PK6, Faisalabad, PK608, Chak Jhumra, PK60801, 
Chakwal, Punjab, PK6, Chakwal, PK605, Chakwal, PK60501, 
Chaman, Balochistan, PK7, Killa Abdullah, PK715, Chaman, PK71501, 
Chamla, Khyber Pakhtunkhwa, PK2, Buner, PK204, Chamla, PK20402, 
Charbagh, Khyber Pakhtunkhwa, PK2, Swat, PK222, Charbagh, PK22204, 
Charsadda, Khyber Pakhtunkhwa, PK2, Charsadda, PK205, Charsadda, PK20501, 
Chattar, Balochistan, PK7, Nasirabad, PK722, Chattar, PK72202, 
Chaubara, Punjab, PK6, Layyah, PK618, Chaubara, PK61801, 
Chichawatni, Punjab, PK6, Sahiwal, PK631, Chichawatni, PK63101, 
Chiksar, Khyber Pakhtunkhwa, PK2, Shangla, PK220, Chiksar, PK22003, 
Chiniot, Punjab, PK6, Chiniot, PK606, Chiniot, PK60601, 
Chishtian, Punjab, PK6, Bahawalnagar, PK602, Chishtian, PK60202, 
Chitral, Khyber Pakhtunkhwa, PK2, Chitral, PK206, Chitral, PK20601, 
Choa Saidan Shah, Punjab, PK6, Chakwal, PK605, Choa Saidan Shah, PK60502, 
Chunian, Punjab, PK6, Kasur, PK614, Chunian, PK61401, 
Dadu, Sindh, PK8, Dadu, PK802, Dadu, PK80201, 
Daggar, Khyber Pakhtunkhwa, PK2, Buner, PK204, Daggar, PK20403, 
Daharki, Sindh, PK8, Ghotki, PK803, Daharki, PK80301, 
Dalbandin, Balochistan, PK7, Chagai, PK704, Dalbandin, PK70402, 
Daraban, Khyber Pakhtunkhwa, PK2, Dera Ismail Khan, PK207, Daraban, PK20701, 
Darra Adam Khel, Khyber Pakhtunkhwa, PK2, FR Kohat, PK241, Darra Adam Khel, PK24101, 
Darya Khan, Punjab, PK6, Bhakkar, PK604, Darya Khan, PK60402, 
Dasht (Kech), Balochistan, PK7, Kech, PK712, Dasht (Kech), PK71203, 
Dasht (Mastung), Balochistan, PK7, Mastung, PK720, Dasht (Mastung), PK72001, 
Daska, Punjab, PK6, Sialkot, PK634, Daska, PK63401, 
Dassu, Khyber Pakhtunkhwa, PK2, Kohistan, PK212, Dassu, PK21201, 
Data Khel, Khyber Pakhtunkhwa, PK2, North Waziristan, PK236, Data Khel, PK23601, 
Daur, Sindh, PK8, Shaheed Benazirabad, PK816, Daur, PK81601, 
De- Excluded Area Rajanpur, Punjab, PK6, Rajanpur, PK629, De- Excluded Area Rajanpur, PK62901, 
De-excluded Area D.G.Khan, Punjab, PK6, Dera Ghazi Khan, PK607, De-excluded Area D.G.Khan, PK60701, 
Depalpur, Punjab, PK6, Okara, PK626, Depalpur, PK62601, 
Dera Bugti, Balochistan, PK7, Dera Bugti, PK705, Dera Bugti, PK70501, 
Dera Ghazi Khan, Punjab, PK6, Dera Ghazi Khan, PK607, Dera Ghazi Khan, PK60702, 
Dera Ismail Khan, Khyber Pakhtunkhwa, PK2, Dera Ismail Khan, PK207, Dera Ismail Khan, PK20702, 
Dera Murad Jamali, Balochistan, PK7, Nasirabad, PK722, Dera Murad Jamali, PK72203, 
Digri, Sindh, PK8, Mirpur Khas, PK812, Digri, PK81201, 
Dina, Punjab, PK6, Jhelum, PK613, Dina, PK61301, 
Diplo, Sindh, PK8, Tharparkar, PK821, Diplo, PK82102, 
Dir, Khyber Pakhtunkhwa, PK2, Upper Dir, PK230, Dir, PK23002, 
Dokri, Sindh, PK8, Larkana, PK810, Dokri, PK81002, 
Domel, Khyber Pakhtunkhwa, PK2, Bannu, PK202, Domel, PK20202, 
Dossali, Khyber Pakhtunkhwa, PK2, North Waziristan, PK236, Dossali, PK23602, 
Drazanda, Khyber Pakhtunkhwa, PK2, FR Dera Ismail Khan, PK240, Drazanda, PK24001, 
Duki, Balochistan, PK7, Loralai, PK719, Duki, PK71901, 
Dunyapur, Punjab, PK6, Lodhran, PK619, Dunyapur, PK61901, 
Dureji, Balochistan, PK7, Las Bela, PK718, Dureji, PK71802, 
Faisalabad City, Punjab, PK6, Faisalabad, PK608, Faisalabad City, PK60802, 
Faisalabad Saddar, Punjab, PK6, Faisalabad, PK608, Faisalabad Saddar, PK60803, 
Faiz Ganj, Sindh, PK8, Khairpur, PK809, Faiz Ganj, PK80901, 
Fateh Jang, Punjab, PK6, Attock, PK601, Fateh Jang, PK60102, 
Ferozewala, Punjab, PK6, Sheikhupura, PK633, Ferozewala, PK63301, 
Fort Abbas, Punjab, PK6, Bahawalnagar, PK602, Fort Abbas, PK60203, 
Gaddani, Balochistan, PK7, Las Bela, PK718, Gaddani, PK71803, 
Gagra, Khyber Pakhtunkhwa, PK2, Buner, PK204, Gagra, PK20404, 
Gambat, Sindh, PK8, Khairpur, PK809, Gambat, PK80902, 
Gandakha, Balochistan, PK7, Jaffarabad, PK708, Gandakha, PK70801, 
Gandawa, Balochistan, PK7, Jhal Magsi, PK709, Gandawa, PK70901, 
Garhi Khairo, Sindh, PK8, Jacobabad, PK805, Garhi Khairo, PK80501, 
Garhi Yasin, Sindh, PK8, Shikarpur, PK817, Garhi Yasin, PK81701, 
Garyum, Khyber Pakhtunkhwa, PK2, North Waziristan, PK236, Garyum, PK23603, 
Ghazi, Khyber Pakhtunkhwa, PK2, Haripur, PK209, Ghazi, PK20901, 
Ghorabari, Sindh, PK8, Thatta, PK822, Ghorabari, PK82201, 
Ghotki, Sindh, PK8, Ghotki, PK803, Ghotki, PK80302, 
Ghulam Khan, Khyber Pakhtunkhwa, PK2, North Waziristan, PK236, Ghulam Khan, PK23604, 
Gichk, Balochistan, PK7, Panjgur, PK724, Gichk, PK72401, 
Gojra, Punjab, PK6, Toba Tek Singh, PK635, Gojra, PK63501, 
Gujar Khan, Punjab, PK6, Rawalpindi, PK630, Gujar Khan, PK63001, 
Gujranwala, Punjab, PK6, Gujranwala, PK609, Gujranwala, PK60901, 
Gujrat, Punjab, PK6, Gujrat, PK610, Gujrat, PK61001, 
Gwadar, Balochistan, PK7, Gwadar, PK706, Gwadar, PK70601, 
Hafizabad, Punjab, PK6, Hafizabad, PK611, Hafizabad, PK61101, 
Hala, Sindh, PK8, Matiari, PK811, Hala, PK81101, 
Halimzai, Khyber Pakhtunkhwa, PK2, Mohmand, PK235, Halimzai, PK23502, 
Hangu, Khyber Pakhtunkhwa, PK2, Hangu, PK208, Hangu, PK20801, 
Haripur, Khyber Pakhtunkhwa, PK2, Haripur, PK209, Haripur, PK20902, 
Harnai, Balochistan, PK7, Harnai, PK707, Harnai, PK70701, 
Haroonabad, Punjab, PK6, Bahawalnagar, PK602, Haroonabad, PK60204, 
Hasilpur, Punjab, PK6, Bahawalpur, PK603, Hasilpur, PK60302, 
Hassan Abdal, Punjab, PK6, Attock, PK601, Hassan Abdal, PK60103, 
Hassan Khel, Khyber Pakhtunkhwa, PK2, FR Peshawar, PK243, Hassan Khel, PK24301, 
Hazro, Punjab, PK6, Attock, PK601, Hazro, PK60104, 
Hub, Balochistan, PK7, Las Bela, PK718, Hub, PK71804, 
Hyderabad, Sindh, PK8, Hyderabad, PK804, Hyderabad, PK80401, 
Hyderabad City, Sindh, PK8, Hyderabad, PK804, Hyderabad City, PK80404, 
Isakhel, Punjab, PK6, Mianwali, PK621, Isakhel, PK62101, 
Islamabad, Federal Capital Territory, PK5, Islamabad, PK501, Islamabad, PK50101, 
Ismailzai, Khyber Pakhtunkhwa, PK2, Orakzai, PK237, Ismailzai, PK23702, 
Jacobabad, Sindh, PK8, Jacobabad, PK805, Jacobabad, PK80502, 
Jahanian, Punjab, PK6, Khanewal, PK615, Jahanian, PK61501, 
Jalalpur Pirwala, Punjab, PK6, Multan, PK622, Jalalpur Pirwala, PK62201, 
Jampur, Punjab, PK6, Rajanpur, PK629, Jampur, PK62902, 
Jamrud, Khyber Pakhtunkhwa, PK2, Khyber, PK233, Jamrud, PK23302, 
Jan Nawaz Ali, Sindh, PK8, Sanghar, PK814, Jan Nawaz Ali, PK81401, 
Jand, Punjab, PK6, Attock, PK601, Jand, PK60105, 
Jandola, Khyber Pakhtunkhwa, PK2, FR Tank, PK244, Jandola, PK24401, 
Jaranwala, Punjab, PK6, Faisalabad, PK608, Jaranwala, PK60804, 
Jati, Sindh, PK8, Sujawal, PK824, Jati, PK82401, 
Jatoi, Punjab, PK6, Muzaffargarh, PK623, Jatoi, PK62302, 
Jhal Jao, Balochistan, PK7, Awaran, PK701, Jhal Jao, PK70102, 
Jhal Magsi, Balochistan, PK7, Jhal Magsi, PK709, Jhal Magsi, PK70902, 
Jhang, Punjab, PK6, Jhang, PK612, Jhang, PK61202, 
Jhat Pat, Balochistan, PK7, Jaffarabad, PK708, Jhat Pat, PK70802, 
Jhelum, Punjab, PK6, Jhelum, PK613, Jhelum, PK61302, 
Jhuddo, Sindh, PK8, Mirpur Khas, PK812, Jhuddo, PK81202, 
Jiwani, Balochistan, PK7, Gwadar, PK706, Jiwani, PK70602, 
Johi, Sindh, PK8, Dadu, PK802, Johi, PK80202, 
Kabal, Khyber Pakhtunkhwa, PK2, Swat, PK222, Kabal, PK22205, 
Kabirwala, Punjab, PK6, Khanewal, PK615, Kabirwala, PK61502, 
Kahan, Balochistan, PK7, Kohlu, PK717, Kahan, PK71701, 
Kahror Pacca, Punjab, PK6, Lodhran, PK619, Kahror Pacca, PK61902, 
Kahuta, Punjab, PK6, Rawalpindi, PK630, Kahuta, PK63002, 
Kairpur Tamewali, Punjab, PK6, Bahawalpur, PK603, Kairpur Tamewali, PK60303, 
Kakar Khurasan, Balochistan, PK7, Zhob, PK730, Kakar Khurasan, PK73001, 
Kalam, Khyber Pakhtunkhwa, PK2, Swat, PK222, Kalam, PK22206, 
Kalat, Balochistan, PK7, Kalat, PK710, Kalat, PK71001, 
Kalkot, Khyber Pakhtunkhwa, PK2, Upper Dir, PK230, Kalkot, PK23003, 
Kallar Kahar, Punjab, PK6, Chakwal, PK605, Kallar Kahar, PK60503, 
Kallar Sayedan, Punjab, PK6, Rawalpindi, PK630, Kallar Sayedan, PK63003, 
Kalurkot, Punjab, PK6, Bhakkar, PK604, Kalurkot, PK60403, 
Kamalia, Punjab, PK6, Toba Tek Singh, PK635, Kamalia, PK63502, 
Kambar Ali Khan, Sindh, PK8, Qambar Shahdadkot, PK815, Kambar Ali Khan, PK81501, 
Kamoke, Punjab, PK6, Gujranwala, PK609, Kamoke, PK60902, 
Kan Mehtarzai, Balochistan, PK7, Killa Saifullah, PK716, Kan Mehtarzai, PK71602, 
Kandiaro, Sindh, PK8, Naushahro Feroze, PK813, Kandiaro, PK81302, 
Kanhdkot, Sindh, PK8, Kashmore, PK808, Kanhdkot, PK80801, 
Kanraj, Balochistan, PK7, Las Bela, PK718, Kanraj, PK71805, 
Karachi Central, Sindh, PK8, Karachi City, PK807, Karachi Central, PK80703, 
Karachi East, Sindh, PK8, Karachi City, PK807, Karachi East, PK80705, 
Karachi South, Sindh, PK8, Karachi City, PK807, Karachi South, PK80704, 
Karachi West, Sindh, PK8, Karachi City, PK807, Karachi West, PK80702, 
Karak, Khyber Pakhtunkhwa, PK2, Karak, PK210, Karak, PK21002, 
Karezat, Balochistan, PK7, Pishin, PK725, Karezat, PK72502, 
Karor Lal Esan, Punjab, PK6, Layyah, PK618, Karor Lal Esan, PK61802, 
Kashmore, Sindh, PK8, Kashmore, PK808, Kashmore, PK80802, 
Kasur, Punjab, PK6, Kasur, PK614, Kasur, PK61402, 
Katlang, Khyber Pakhtunkhwa, PK2, Mardan, PK217, Katlang, PK21701, 
Kazi Ahmed, Sindh, PK8, Shaheed Benazirabad, PK816, Kazi Ahmed, PK81602, 
Kech, Balochistan, PK7, Kech, PK712, Kech, PK71204, 
Keti Bander, Sindh, PK8, Thatta, PK822, Keti Bander, PK82203, 
Khairpur, Sindh, PK8, Khairpur, PK809, Khairpur, PK80903, 
Khairpur Nathan Shah, Sindh, PK8, Dadu, PK802, Khairpur Nathan Shah, PK80203, 
Khanewal, Punjab, PK6, Khanewal, PK615, Khanewal, PK61503, 
Khangarh, Sindh, PK8, Ghotki, PK803, Khangarh, PK80303, 
Khanpur (Rahim Yar Khan), Punjab, PK6, Rahim Yar Khan, PK628, Khanpur (Rahim Yar Khan), PK62801, 
Khanpur (Shikarpur), Sindh, PK8, Shikarpur, PK817, Khanpur (Shikarpur), PK81702, 
Khar, Khyber Pakhtunkhwa, PK2, Bajaur, PK232, Khar, PK23203, 
Kharan, Balochistan, PK7, Kharan, PK713, Kharan, PK71301, 
Kharian, Punjab, PK6, Gujrat, PK610, Kharian, PK61002, 
Kharochan, Sindh, PK8, Sujawal, PK824, Kharochan, PK82402, 
Khipro, Sindh, PK8, Sanghar, PK814, Khipro, PK81402, 
Khushab, Punjab, PK6, Khushab, PK616, Khushab, PK61601, 
Khuzdar, Balochistan, PK7, Khuzdar, PK714, Khuzdar, PK71401, 
Khwazakhela, Khyber Pakhtunkhwa, PK2, Swat, PK222, Khwazakhela, PK22207, 
Killa Abdullah, Balochistan, PK7, Killa Abdullah, PK715, Killa Abdullah, PK71502, 
Killa Saifullah, Balochistan, PK7, Killa Saifullah, PK716, Killa Saifullah, PK71603, 
Kingri, Sindh, PK8, Khairpur, PK809, Kingri, PK80904, 
Kohat, Khyber Pakhtunkhwa, PK2, Kohat, PK211, Kohat, PK21101, 
Kohlu, Balochistan, PK7, Kohlu, PK717, Kohlu, PK71702, 
Kot Addu, Punjab, PK6, Muzaffargarh, PK623, Kot Addu, PK62303, 
Kot Diji, Sindh, PK8, Khairpur, PK809, Kot Diji, PK80905, 
Kot Ghulam Muhammad, Sindh, PK8, Mirpur Khas, PK812, Kot Ghulam Muhammad, PK81203, 
Kot Momin, Punjab, PK6, Sargodha, PK632, Kot Momin, PK63202, 
Kotli Sattian, Punjab, PK6, Rawalpindi, PK630, Kotli Sattian, PK63004, 
Kotri, Sindh, PK8, Jamshoro, PK806, Kotri, PK80601, 
Kulachi, Khyber Pakhtunkhwa, PK2, Dera Ismail Khan, PK207, Kulachi, PK20703, 
Kunri, Sindh, PK8, Umerkot, PK823, Kunri, PK82301, 
Kut Mandai, Balochistan, PK7, Sibi, PK728, Kut Mandai, PK72801, 
Lachi, Khyber Pakhtunkhwa, PK2, Kohat, PK211, Lachi, PK21102, 
Ladha, Khyber Pakhtunkhwa, PK2, South Waziristan, PK238, Ladha, PK23802, 
Lahor, Khyber Pakhtunkhwa, PK2, Swabi, PK221, Lahor, PK22101, 
Lahore Cantt, Punjab, PK6, Lahore, PK617, Lahore Cantt, PK61701, 
Lahore City, Punjab, PK6, Lahore, PK617, Lahore City, PK61702, 
Lakhi, Sindh, PK8, Shikarpur, PK817, Lakhi, PK81703, 
Lakhra, Balochistan, PK7, Las Bela, PK718, Lakhra, PK71806, 
Lakki Marwat, Khyber Pakhtunkhwa, PK2, Lakki Marwat, PK213, Lakki Marwat, PK21301, 
Landi Kotal, Khyber Pakhtunkhwa, PK2, Khyber, PK233, Landi Kotal, PK23303, 
Larkana, Sindh, PK8, Larkana, PK810, Larkana, PK81003, 
Latifabad, Sindh, PK8, Hyderabad, PK804, Latifabad, PK80403, 
Layyah, Punjab, PK6, Layyah, PK618, Layyah, PK61803, 
Lehri, Balochistan, PK7, Lehri, PK732, Lehri, PK73202, 
Liaquatpur, Punjab, PK6, Rahim Yar Khan, PK628, Liaquatpur, PK62802, 
Liari, Balochistan, PK7, Las Bela, PK718, Liari, PK71807, 
Lodhran, Punjab, PK6, Lodhran, PK619, Lodhran, PK61903, 
Loi Band, Balochistan, PK7, Killa Saifullah, PK716, Loi Band, PK71604, 
Loralai, Balochistan, PK7, Loralai, PK719, Loralai, PK71902, 
Lower Kurram, Khyber Pakhtunkhwa, PK2, Kurram, PK234, Lower Kurram, PK23402, 
Lower Orakzai, Khyber Pakhtunkhwa, PK2, Orakzai, PK237, Lower Orakzai, PK23703, 
Mach, Balochistan, PK7, Kachhi, PK711, Mach, PK71102, 
Mailsi, Punjab, PK6, Vehari, PK636, Mailsi, PK63602, 
Makin, Khyber Pakhtunkhwa, PK2, South Waziristan, PK238, Makin, PK23803, 
Malakwal, Punjab, PK6, Mandi Bahauddin, PK620, Malakwal, PK62001, 
Malir, Sindh, PK8, Karachi City, PK807, Malir, PK80701, 
Mamund, Khyber Pakhtunkhwa, PK2, Bajaur, PK232, Mamund, PK23204, 
Mand, Balochistan, PK7, Kech, PK712, Mand, PK71205, 
Mandi Bahauddin, Punjab, PK6, Mandi Bahauddin, PK620, Mandi Bahauddin, PK62002, 
Manjhand, Sindh, PK8, Jamshoro, PK806, Manjhand, PK80604, 
Mankera, Punjab, PK6, Bhakkar, PK604, Mankera, PK60404, 
Mansehra, Khyber Pakhtunkhwa, PK2, Mansehra, PK216, Mansehra, PK21602, 
Mardan, Khyber Pakhtunkhwa, PK2, Mardan, PK217, Mardan, PK21702, 
Martung, Khyber Pakhtunkhwa, PK2, Shangla, PK220, Martung, PK22004, 
Mashkai, Balochistan, PK7, Awaran, PK701, Mashkai, PK70103, 
Mashkhel, Balochistan, PK7, Washuk, PK729, Mashkhel, PK72902, 
Mastuj, Khyber Pakhtunkhwa, PK2, Chitral, PK206, Mastuj, PK20602, 
Mastung, Balochistan, PK7, Mastung, PK720, Mastung, PK72002, 
Matiari, Sindh, PK8, Matiari, PK811, Matiari, PK81102, 
Matli, Sindh, PK8, Badin, PK801, Matli, PK80102, 
Matta Khararai, Khyber Pakhtunkhwa, PK2, Swat, PK222, Matta Khararai, PK22208, 
Matta Sebujni, Khyber Pakhtunkhwa, PK2, Swat, PK222, Matta Sebujni, PK22209, 
Mawand, Balochistan, PK7, Kohlu, PK717, Mawand, PK71703, 
Mehar, Sindh, PK8, Dadu, PK802, Mehar, PK80204, 
Mian Channu, Punjab, PK6, Khanewal, PK615, Mian Channu, PK61504, 
Mianwali, Punjab, PK6, Mianwali, PK621, Mianwali, PK62102, 
Minchinabad, Punjab, PK6, Bahawalnagar, PK602, Minchinabad, PK60205, 
Mir Ali, Khyber Pakhtunkhwa, PK2, North Waziristan, PK236, Mir Ali, PK23605, 
Miran Shah, Khyber Pakhtunkhwa, PK2, North Waziristan, PK236, Miran Shah, PK23606, 
Miro Khan, Sindh, PK8, Qambar Shahdadkot, PK815, Miro Khan, PK81502, 
Mirpur Bathoro, Sindh, PK8, Sujawal, PK824, Mirpur Bathoro, PK82403, 
Mirpur Khas, Sindh, PK8, Mirpur Khas, PK812, Mirpur Khas, PK81204, 
Mirpur Mathelo, Sindh, PK8, Ghotki, PK803, Mirpur Mathelo, PK80304, 
Mirpur Sakro, Sindh, PK8, Thatta, PK822, Mirpur Sakro, PK82206, 
Mirwah, Sindh, PK8, Khairpur, PK809, Mirwah, PK80906, 
Mithi, Sindh, PK8, Tharparkar, PK821, Mithi, PK82103, 
Moro, Sindh, PK8, Naushahro Feroze, PK813, Moro, PK81303, 
Multan City, Punjab, PK6, Multan, PK622, Multan City, PK62203, 
Multan Saddar, Punjab, PK6, Multan, PK622, Multan Saddar, PK62202, 
Muridke, Punjab, PK6, Sheikhupura, PK633, Muridke, PK63302, 
Murree, Punjab, PK6, Rawalpindi, PK630, Murree, PK63005, 
Musakhel, Balochistan, PK7, Musakhel, PK721, Musakhel, PK72101, 
Muslim Bagh, Balochistan, PK7, Killa Saifullah, PK716, Muslim Bagh, PK71605, 
Muzaffargarh, Punjab, PK6, Muzaffargarh, PK623, Muzaffargarh, PK62304, 
Nag, Balochistan, PK7, Washuk, PK729, Nag, PK72903, 
Nagarparkar, Sindh, PK8, Tharparkar, PK821, Nagarparkar, PK82104, 
Nal, Balochistan, PK7, Khuzdar, PK714, Nal, PK71402, 
Nankana Sahib, Punjab, PK6, Nankana Sahib, PK624, Nankana Sahib, PK62401, 
Nara, Sindh, PK8, Khairpur, PK809, Nara, PK80907, 
Narowal, Punjab, PK6, Narowal, PK625, Narowal, PK62501, 
Naushahro Feroze, Sindh, PK8, Naushahro Feroze, PK813, Naushahro Feroze, PK81304, 
Nawabshah, Sindh, PK8, Shaheed Benazirabad, PK816, Nawabshah, PK81603, 
Nawagai, Khyber Pakhtunkhwa, PK2, Bajaur, PK232, Nawagai, PK23205, 
Nowshera, Khyber Pakhtunkhwa, PK2, Nowshera, PK218, Nowshera, PK21801, 
Nowshera Virkan, Punjab, PK6, Gujranwala, PK609, Nowshera Virkan, PK60903, 
Nurpur, Punjab, PK6, Khushab, PK616, Nurpur, PK61602, 
Nushki, Balochistan, PK7, Nushki, PK723, Nushki, PK72301, 
Oghi, Khyber Pakhtunkhwa, PK2, Mansehra, PK216, Oghi, PK21603, 
Okara, Punjab, PK6, Okara, PK626, Okara, PK62602, 
Ormara, Balochistan, PK7, Gwadar, PK706, Ormara, PK70603, 
Pabbi, Khyber Pakhtunkhwa, PK2, Nowshera, PK218, Pabbi, PK21802, 
Paharpur, Khyber Pakhtunkhwa, PK2, Dera Ismail Khan, PK207, Paharpur, PK20704, 
Pakpattan, Punjab, PK6, Pakpattan, PK627, Pakpattan, PK62702, 
Palas, Khyber Pakhtunkhwa, PK2, Kohistan, PK212, Palas, PK21202, 
Panjgur, Balochistan, PK7, Panjgur, PK724, Panjgur, PK72402, 
Panjpai, Balochistan, PK7, Quetta, PK726, Panjpai, PK72602, 
Pano Aqil, Sindh, PK8, Sukkur, PK818, Pano Aqil, PK81801, 
Parome, Balochistan, PK7, Panjgur, PK724, Parome, PK72403, 
Pasni, Balochistan, PK7, Gwadar, PK706, Pasni, PK70604, 
Pasrur, Punjab, PK6, Sialkot, PK634, Pasrur, PK63402, 
Pattan, Khyber Pakhtunkhwa, PK2, Kohistan, PK212, Pattan, PK21203, 
Pattoki, Punjab, PK6, Kasur, PK614, Pattoki, PK61403, 
Peshawar, Khyber Pakhtunkhwa, PK2, Peshawar, PK219, Peshawar, PK21901, 
Phalia, Punjab, PK6, Mandi Bahauddin, PK620, Phalia, PK62003, 
Phelawagh, Balochistan, PK7, Dera Bugti, PK705, Phelawagh, PK70502, 
Pind Dadan Khan, Punjab, PK6, Jhelum, PK613, Pind Dadan Khan, PK61303, 
Pindi Bhattian, Punjab, PK6, Hafizabad, PK611, Pindi Bhattian, PK61102, 
Pindi Gheb, Punjab, PK6, Attock, PK601, Pindi Gheb, PK60106, 
Pindiali, Khyber Pakhtunkhwa, PK2, Mohmand, PK235, Pindiali, PK23503, 
Piplan, Punjab, PK6, Mianwali, PK621, Piplan, PK62103, 
Pir Baba/ Gadaizi, Khyber Pakhtunkhwa, PK2, Buner, PK204, Pir Baba/ Gadaizi, PK20405, 
Pishin, Balochistan, PK7, Pishin, PK725, Pishin, PK72503, 
Pithoro, Sindh, PK8, Umerkot, PK823, Pithoro, PK82302, 
Prang Ghar, Khyber Pakhtunkhwa, PK2, Mohmand, PK235, Prang Ghar, PK23504, 
Puran, Khyber Pakhtunkhwa, PK2, Shangla, PK220, Puran, PK22005, 
Qasimabad, Sindh, PK8, Hyderabad, PK804, Qasimabad, PK80402, 
Quaidabad, Punjab, PK6, Khushab, PK616, Quaidabad, PK61603, 
Qubo Saeed Khan, Sindh, PK8, Qambar Shahdadkot, PK815, Qubo Saeed Khan, PK81505, 
Quetta City, Balochistan, PK7, Quetta, PK726, Quetta City, PK72601, 
Rahim Yar Khan, Punjab, PK6, Rahim Yar Khan, PK628, Rahim Yar Khan, PK62803, 
Rajanpur, Punjab, PK6, Rajanpur, PK629, Rajanpur, PK62903, 
Ratodero, Sindh, PK8, Larkana, PK810, Ratodero, PK81004, 
Rawalpindi, Punjab, PK6, Rawalpindi, PK630, Rawalpindi, PK63006, 
Razmak, Khyber Pakhtunkhwa, PK2, North Waziristan, PK236, Razmak, PK23607, 
