ID,Category,Sub_Cat,Gov_Pvt,Facility,Tehsil,Admin 2,Admin 1,Latitude,Longitude
18,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,RUQIA HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19913375860,73.23873731360
19,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,BURJ AL DAHAR MEDICAL CENTER,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20439431610,73.23977470820
20,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,AYUB MEDICAL COMPLEX,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20373945830,73.23383938890
21,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,BACH CHRISTIAN HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.26437830590,73.23535801180
22,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,SHIFA HEALTH CENTER,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.15079701190,73.31143900670
23,HOMEOPATHIC,CLINIC,PRIVATE,HOMEO CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.12880296800,73.34101362450
24,GENERAL PHYSICIAN,CLINIC,PRIVATE,MAJIDA CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14045479380,73.23278072400
25,GENERAL PHYSICIAN,CLINIC,PRIVATE,BADAR CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.16248941790,73.25124377360
26,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,JINNAH PHARMACY,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.18904050640,73.23369260790
27,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,SHIFA PHARMACY,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20276675370,73.23905870090
28,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,AZEEM PHARMACY,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20294649550,73.23919737620
29,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,ABBOTT PHARMACY,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14599642470,73.21551386920
30,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,SAIF PHARMACY,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14778263940,73.21297402010
31,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.26430516660,73.23588354430
32,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,WASIF MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.15712291790,73.23873646920
33,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,SHAH MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14673934770,73.22183866160
34,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,ADIL MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14525204580,73.21906283540
35,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,HAZARA JANNAT MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14467266320,73.21666748100
36,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,BILAL MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14607596250,73.21556664790
37,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,ZARBAT MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14622295020,73.21560276300
38,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,REHMAN HOSPITAL & ZERBAT MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14454609630,73.21123394480
39,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,JINNAHABAD MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.18758864670,73.23877518210
40,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19707927270,73.24534772380
41,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,AL-SADAAT MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.12804102700,73.34312619450
42,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,AL-SHAMS MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.02798140210,73.10899746270
43,MATERNITY HOME,MEDICAL SERVICES,PRIVATE,NOOR-UL-HUDA MEDICAL CENTRE & MATERNITY CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.98280244940,73.39964477010
44,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,SHAHID MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.96699368210,73.38938022460
45,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,ABBASI MEDICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.96560801330,73.38870063550
46,GENERAL PHYSICIAN,CLINIC,PRIVATE,KHALIDA PARVEEN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.30535132710,73.31349755730
47,GENERAL PHYSICIAN,CLINIC,PRIVATE,SAKINA CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.29045145680,73.30549021540
48,ROUTINE TEST LABORATORIES,MEDICAL SERVICES,PRIVATE,ISLAMABAD CLINIC & LAB,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.06358851950,73.49014657940
49,GENERAL PHYSICIAN,CLINIC,PRIVATE,AL-SHIFA FAMILY CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.05362980170,73.49120007690
50,HOMEOPATHIC,CLINIC,PRIVATE,AL-NOOR HOMEOPATHIC CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.04628670270,73.49290451280
51,GENERAL PHYSICIAN,CLINIC,PRIVATE,SHAMA CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.05779962960,73.35241475980
52,GENERAL PHYSICIAN,CLINIC,PRIVATE,JADOON CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.11737064150,73.35726963370
53,GENERAL PHYSICIAN,CLINIC,PRIVATE,AL-SHIFA CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.12849905970,73.34694610060
54,GENERAL PHYSICIAN,CLINIC,PRIVATE,SAIMA CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.16443084500,73.25225250000
55,GENERAL PHYSICIAN,CLINIC,PRIVATE,SIQA BANO CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.16478173710,73.25297388730
56,GENERAL PHYSICIAN,CLINIC,PRIVATE,LADY DR NADIA HAROON CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.15743769650,73.23848170200
57,DENTAL CLINIC,CLINIC,PRIVATE,DENTAL HYGIENE CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.15711159110,73.23832464430
58,GENERAL PHYSICIAN,CLINIC,PRIVATE,AL-ADAM MEDICAL CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.16569097850,73.23091346400
59,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR MOHAMMAD ASLAM KHAN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.16952030760,73.22529797680
60,GENERAL PHYSICIAN,CLINIC,PRIVATE,NO TENSION CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.17820078890,73.22836010430
61,VETERINARY,CLINIC,PRIVATE,VETERINARY CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19360811630,73.23593425160
62,SPECIALIST,CLINIC,PRIVATE,FIVE MART BEAUTY CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19321492920,73.23498145030
63,GENERAL PHYSICIAN,CLINIC,PRIVATE,PROFESSOR DR ALAM ZAIB MANAN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19594839290,73.23602831020
64,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR TAHIR HAROON CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19662679530,73.23669891320
65,GENERAL PHYSICIAN,CLINIC,PRIVATE,AL-SAMI CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19864987050,73.23749020600
66,GENERAL PHYSICIAN,CLINIC,PRIVATE,QAZI CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19915304370,73.23779853150
67,GENERAL PHYSICIAN,CLINIC,PRIVATE,DOCTOR SARDAR AYUB CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20047696750,73.23776607740
68,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR IRUM SARWAR CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20247512500,73.23888855720
69,GENERAL PHYSICIAN,CLINIC,PRIVATE,PROFESSOR SURGEON ZIA-UL-REHMAN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20289288640,73.23911780590
70,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR. ABDUL ISLAM ARIF CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20396995360,73.23951652220
71,GENERAL PHYSICIAN,CLINIC,PRIVATE,CLINIC AL-BUKHARI,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20342427980,73.23932801320
72,GENERAL PHYSICIAN,CLINIC,PRIVATE,FAISAL HASSAN AWAN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20403416970,73.23951332110
73,GENERAL PHYSICIAN,CLINIC,PRIVATE,SABINA KHATTAK CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20645993640,73.24072255510
74,GENERAL PHYSICIAN,CLINIC,PRIVATE,RAQIYA SULTANIA CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19964690100,73.23780760680
75,HOMEOPATHIC,CLINIC,PRIVATE,YOUSAF HOMEO CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19955432790,73.23722542170
76,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR MEHMOOD FAIZANI CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19975554310,73.23741032220
77,DIAGNOSTIC CENTRE,MEDICAL SERVICES,PRIVATE,NAYAB ULTRASOUND CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20284244180,73.23909650650
78,OPTICS,MEDICAL SERVICES,PRIVATE,EYE SURGEON PROFESSOR DR JAFAR KHAN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20268043050,73.23911044920
79,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR SAQIB MALIK CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20286265460,73.23946133400
80,GENERAL PHYSICIAN,CLINIC,PRIVATE,MUFTI CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20735958700,73.23964434700
81,HOMEOPATHIC,CLINIC,PRIVATE,BABAR HOMEO CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20773384100,73.24051955480
82,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR SYED TAHIR HUSSAIN SHAH CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14525642040,73.21824927270
83,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR MOHAMMAD ALI RAZA CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14423419800,73.21496458780
84,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR SHER AFZAL CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14407711830,73.21481056720
85,GENERAL PHYSICIAN,CLINIC,PRIVATE,AL-REHMAN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14187943560,73.21389377520
86,GENERAL PHYSICIAN,CLINIC,PRIVATE,SAJJAD CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.13164786430,73.20059869280
87,GENERAL PHYSICIAN,CLINIC,PRIVATE,CARRY CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14679052150,73.20955629790
88,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR RIAZ CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14844879150,73.21178686630
89,HOMEOPATHIC,CLINIC,PRIVATE,ISHFAQ HOMEOPATHIC CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14497097110,73.21758910580
90,HOMEOPATHIC,CLINIC,PRIVATE,AL-HUDA HOMEOPATHIC CLINIC & STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14487272790,73.21738423900
91,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR SHEHZAD IQBAL CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14474959880,73.21645259840
92,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR BUSHRA KHAN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14687471040,73.22147466140
93,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR SYED QASIM MEHMOOD SHAH CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14642821930,73.22142715580
94,GENERAL PHYSICIAN,CLINIC,PRIVATE,NAVEED CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14625566700,73.22121365710
95,GENERAL PHYSICIAN,CLINIC,PRIVATE,AHSAN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.05504052390,73.14983003240
96,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR. HABIB-ULLAH CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.05344654280,73.15345063760
97,GENERAL PHYSICIAN,CLINIC,PRIVATE,KHAN CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.05332103320,73.15713743050
98,GENERAL PHYSICIAN,CLINIC,PRIVATE,FAMILY HEALTH CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.05001892000,73.14060516270
99,GENERAL PHYSICIAN,CLINIC,PRIVATE,SEEMA AKBAR CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.03890467910,73.12122320490
100,HOMEOPATHIC,CLINIC,PRIVATE,AL-KAUSAR HOMEO CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.23087653410,73.24048758910
101,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,SARWAR SURGICAL & GENERAL HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.05392025010,73.14589452830
102,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,AL-MARYAM HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.05579511070,73.15280595000
103,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,ABBASI HOSPITAL NUMMAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19178579760,73.47950186760
104,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,ABBASI HOSPITAL TARCH,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.23428639820,73.47588367580
105,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,REYALA HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.21299682960,73.38586010860
106,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,BAKH CHRISTIAN HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.26400090330,73.23593735800
107,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,MADINA TU SHIFA HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.26348564710,73.23580791390
108,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,IQBAL GENERAL HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.27041575500,73.23574281300
109,MATERNITY HOME,MEDICAL SERVICES,PRIVATE,FAREED HOSPITAL AND MATERNITY HOME,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.05358633400,73.15740031090
110,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,EHSUN HOSPITAL AND SURGICAL CENTRE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20599849770,73.24044544110
111,GENERAL PHYSICIAN,CLINIC,PRIVATE,JADON CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.11858618010,73.35079732750
112,CLINICAL LABORATORIES,MEDICAL SERVICES,PRIVATE,CLINICAL LABORATORIES AGA KHAN,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20483536070,73.23982719770
113,GENERAL HOSPITALS,MEDICAL FACILITIES,PRIVATE,CITI HOSPITAL,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.96954306100,73.38899117730
114,GENERAL PHYSICIAN,CLINIC,PRIVATE,MUSARAT CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14903542820,73.21972623990
115,GENERAL PHYSICIAN,CLINIC,PRIVATE,DR SOHAIL MALIK CLINIC,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14727781740,73.22266322610
116,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,NAZAKAT MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.25017960080,73.23745841640
117,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,QURESHI MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.26525295150,73.23646681590
118,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,WAQAS MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.26479512440,73.23570873910
119,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,FRONTIER MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.26448140470,73.23579365660
120,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,KHAN MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20574047250,73.24016101500
121,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,FAIR MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20592663950,73.24023635530
122,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,HASHMAT LATIF MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20345744470,73.23927531820
123,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,ALLAI BATAGRAM MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20335055080,73.23921902190
124,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,QURESHI MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20339357880,73.23923379060
125,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,WASIM MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20324921750,73.23915289800
126,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,MEHR MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20320642810,73.23914264330
127,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,THE LITE MEDICAL & ORTHOPEDIC STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20314559540,73.23912250890
128,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,RASHEED MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20282366440,73.23901471100
129,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,SHAHWANI MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.20297929150,73.23906992340
130,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,BALAKOT MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19614154860,73.23656795910
131,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,AZAM MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19634251570,73.23661218820
132,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,AL-SHIFA MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.19351166700,73.23506096500
133,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,VENUS MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.15800118760,73.25370899910
134,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,AHMED MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.15754808370,73.24094736340
135,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,TAHIR MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.15698551420,73.23609648170
136,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,QURESHI MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14808961850,73.21199737750
137,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,ABBASI MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14644625830,73.21569361520
138,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,SAEED MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14604329720,73.21549414930
139,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,RAJPUT BROTHERS MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14576471790,73.21542755010
140,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,KHURRAM MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.14499353440,73.21544573930
141,MEDICAL STORES,MEDICAL SERVICES,PRIVATE,ALI MEDICAL STORE,ABBOTTABAD,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.07110377750,73.49103537640
