UID,Category,Sub_Cat,Gov_Pvt,Facility,Admin 3,Admin 2,Admin 1,Latitude,Longitude,Facility Type
186-fac2,Basic Health Unit,Bhu,Government,Berot Kalan,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.05404866,73.48893919,Bhu
187-fac2,General Hospitals,Medical Facilities,Government,Civil Hospital Abbottabad,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.0280236,73.41209708,x
188-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Toheed Abad,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.04140421,73.38478008,x
189-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Nagri Bala,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.04816321,73.34171293,x
190-fac2,Basic Health Unit,Bhu,Government,Sumunder Katah,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.04528167,73.33046083,Bhu
191-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Dakhan Titriala,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.05354145,73.32579668,x
192-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Kasala,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.04560489,73.31763087,x
193-fac2,Basic Health Unit,Bhu,Government,Bagh Bandi,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.0669643,73.36430509,Bhu
194-fac2,Basic Health Unit,Bhu,Government,Moolia,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.13618658,73.48412646,Bhu
195-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Learan,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.11990919,73.47980022,x
196-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Khan Kalan,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.1142873,73.45847482,x
197-fac2,Basic Health Unit,Bhu,Government,Mujaith,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.19857442,73.45317987,Bhu
198-fac2,Basic Health Unit,Bhu,Government,Beeran Gali,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.18305508,73.39286146,Bhu
199-fac2,Basic Health Unit,Bhu,Government,Harno,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.16928876,73.37377185,Bhu
200-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Sialkot,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.22194064,73.40347884,x
201-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Bandi Sarara,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.22845126,73.39633233,x
202-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Kanthialy,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.2647883,73.40746158,x
203-fac2,Dispensary,Medical Facilities,Government,Dispensary Riala,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.27470189,73.31494164,x
204-fac2,Basic Health Unit,Bhu,Government,Mohra,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.25708873,73.28768106,Bhu
205-fac2,Basic Health Unit,Bhu,Government,Banda Pir Khan,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.24687767,73.2738303,Bhu
206-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Bandi Dhundan,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.26651457,73.25724873,x
207-fac2,Basic Health Unit,Bhu,Government,Mangal Azir,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.25071163,73.2460081,Bhu
208-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Kuthwal,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.19152065,73.31587134,x
209-fac2,Basic Health Unit,Bhu,Government,Kakul,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.20345564,73.28194089,Bhu
210-fac2,Basic Health Unit,Bhu,Government,Mipur,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.20671777,73.25253883,Bhu
211-fac2,Mch Centre,Mch,Government,Govt. Mch Ctr Nawansher,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.16119107,73.28116105,x
212-fac2,General Hospitals,Medical Facilities,Government,Civil Hospital Boi,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.13715161,73.20598862,x
213-fac2,Basic Health Unit,Bhu,Government,Jabrain,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14003514,73.19005021,Bhu
214-fac2,Basic Health Unit,Bhu,Government,Mochi Kot,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.22437661,73.18448164,Bhu
215-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Richbhan,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.20516589,73.14449104,x
216-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Pawa,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.20243101,73.17252957,x
217-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Bandi Phulan,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.18808376,73.1607982,x
218-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Bunj,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.17421539,73.14590908,x
219-fac2,Basic Health Unit,Bhu,Government,Pind Kargu Khan (Gadagali),Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.17355157,73.07682752,Bhu
220-fac2,Basic Health Unit,Bhu,Government,Kothiala,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.15850369,73.1165806,Bhu
221-fac2,Basic Health Unit,Bhu,Government,Ghori,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14059051,73.12042055,Bhu
222-fac2,Basic Health Unit,Bhu,Government,Kokal Barseen,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.09943734,73.11538735,Bhu
223-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Havelian,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.05562869,73.17253748,x
224-fac2,Basic Health Unit,Bhu,Government,Kalu Maire,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.04569079,73.10102778,Bhu
225-fac2,General Hospitals,Medical Facilities,Government,Police Hospital,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14087205,73.20884033,x
226-fac2,Basic Health Unit,Bhu,Government,Chattar Kalas,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.201011,73.49765763,Bhu
227-fac2,Basic Health Unit,Bhu,Government,Nawan Shehr,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.15869177,73.26395341,Bhu
228-fac2,Basic Health Unit,Bhu,Government,Bangnoter,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.1296032,73.33960026,Bhu
229-fac2,Basic Health Unit,Bhu,Government,Sarhan,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.29868152,73.3930167,Bhu
230-fac2,Basic Health Unit,Bhu,Government,Palak,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,33.95543769,73.35361906,Bhu
231-fac2,Leprosy Centre,Medical Facilities,Government,Leprosy Clinic Abbottabad,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.05445045,73.1491697,x
232-fac2,General Hospitals,Medical Facilities,Government,Civil Hospital Khaira Gali,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,33.98221394,73.39970393,x
233-fac2,Basic Health Unit,Bhu,Government,Nummal,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.19368937,73.48178615,Bhu
234-fac2,General Hospitals,Medical Facilities,Government,District Jail Hospital Abbottabad,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.14796609,73.2015924,x
235-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Kuthwal,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.21079428,73.33086195,x
236-fac2,Rural Health Center,Rhc,Government,Kalpani,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.21082347,73.33080567,Rhc
237-fac2,Rural Health Center,Rhc,Government,Havelian,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,34.05298458,73.15326336,Rhc
247-fac2,Basic Health Unit,Bhu,Government,Bodla,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.96771578,73.17890671,Bhu
248-fac2,Basic Health Unit,Bhu,Government,Rajoyia,Havelian,Abbottabad,Khyber Pakhtunkhwa,34.08056113,73.22849141,Bhu
249-fac2,Basic Health Unit,Bhu,Government,Sumakaragga,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.84668443,73.27095558,Bhu
250-fac2,Rural Health Center,Rhc,Government,Lora,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.89100761,73.27819416,Rhc
251-fac2,Basic Health Unit,Bhu,Government,Phulla,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.86761104,73.21970569,Bhu
252-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Ghora Dhaka,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.90044235,73.2607581,x
253-fac2,Basic Health Unit,Bhu,Government,Nagri Totial,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.94149516,73.31161197,Bhu
254-fac2,Basic Health Unit,Bhu,Government,Chamali,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.9388561,73.27798572,Bhu
255-fac2,Dispensary,Medical Facilities,Government,Dispensary Sarhan,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.89463257,73.19762652,x
256-fac2,Basic Health Unit,Bhu,Government,Langrial,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.92401353,73.12487343,Bhu
257-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Kayala Payeen,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.95589917,73.17722568,x
258-fac2,Basic Health Unit,Bhu,Government,Nara,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.98797291,73.22881993,Bhu
259-fac2,Basic Health Unit,Bhu,Government,Bakot,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.99452864,73.27245327,Bhu
260-fac2,Basic Health Unit,Bhu,Government,Bharwal,Havelian,Abbottabad,Khyber Pakhtunkhwa,34.09094117,73.17454284,Bhu
261-fac2,Basic Health Unit,Bhu,Government,Takia Shekhan,Havelian,Abbottabad,Khyber Pakhtunkhwa,34.04947508,73.24249522,Bhu
262-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Chehr,Havelian,Abbottabad,Khyber Pakhtunkhwa,34.02673219,73.27368079,x
263-fac2,Rural Health Center,Rhc,Government,Moribadan,Havelian,Abbottabad,Khyber Pakhtunkhwa,34.01150486,73.24241971,Rhc
264-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Chando Meera,Havelian,Abbottabad,Khyber Pakhtunkhwa,34.00512332,73.21317765,x
265-fac2,Basic Health Unit,Bhu,Government,Salwala,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.99603442,73.15331456,Bhu
266-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Manjoohan,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.97495469,73.15088848,x
267-fac2,Dispensary,Medical Facilities,Government,Civil Dispensary Mohri,Havelian,Abbottabad,Khyber Pakhtunkhwa,34.01703027,73.2398621,x
268-fac2,Basic Health Unit,Bhu,Government,Satora,Havelian,Abbottabad,Khyber Pakhtunkhwa,33.95781809,73.24669568,Bhu
284-fac2,General Hospitals,Medical Facilities,Government,Cmh Hospital Bannu,Bannu,Bannu,Khyber Pakhtunkhwa,33.00140566,70.59780527,x
285-fac2,Mch Centre,Mch,Government,Govt. Mch Center Mamash Khel,Bannu,Bannu,Khyber Pakhtunkhwa,32.94647673,70.54221385,x
286-fac2,General Hospitals,Medical Facilities,Government,Zanana Hospital Bannu,Bannu,Bannu,Khyber Pakhtunkhwa,32.98799712,70.6007302,x
287-fac2,District Headquarter Hospital,Dhq,Government,Dhq Hospital Bannu,Bannu,Bannu,Khyber Pakhtunkhwa,32.97847001,70.61987349,x
288-fac2,Maternity Home,Medical Services,Government,Zacha Bacha Center,Bannu,Bannu,Khyber Pakhtunkhwa,32.944526,70.65766905,x
289-fac2,Basic Health Unit,Bhu,Government,Sakhi Jan Jani Khel,Bannu,Bannu,Khyber Pakhtunkhwa,32.80655461,70.49000802,Bhu
290-fac2,Maternity Home,Medical Services,Government,Zacha Bacha Center,Bannu,Bannu,Khyber Pakhtunkhwa,32.98794437,70.60153783,x
291-fac2,Basic Health Unit,Bhu,Government,Nar Jaffar,Bannu,Bannu,Khyber Pakhtunkhwa,32.95894873,70.73757081,Bhu
292-fac2,Basic Health Unit,Bhu,Government,Shamshi Khel,Bannu,Bannu,Khyber Pakhtunkhwa,32.92307144,70.74472591,Bhu
293-fac2,Basic Health Unit,Bhu,Government,Ghori Wala,Bannu,Bannu,Khyber Pakhtunkhwa,32.90511657,70.72928307,Bhu
294-fac2,Dispensary,Medical Facilities,Government,Civil Disp. Kotka Khan Gul,Bannu,Bannu,Khyber Pakhtunkhwa,32.87213551,70.74450451,x
295-fac2,Basic Health Unit,Bhu,Government,Jando Khel,Bannu,Bannu,Khyber Pakhtunkhwa,32.95180209,70.71419195,Bhu
296-fac2,Basic Health Unit,Bhu,Government,Seru Bada Khel,Bannu,Bannu,Khyber Pakhtunkhwa,32.95534823,70.66154892,Bhu
297-fac2,Basic Health Unit,Bhu,Government,Nizam Bazar,Bannu,Bannu,Khyber Pakhtunkhwa,33.00765919,70.64059842,Bhu
298-fac2,Dispensary,Medical Facilities,Government,Civil Disp. Torka,Bannu,Bannu,Khyber Pakhtunkhwa,33.02470247,70.61387959,x
299-fac2,Dispensary,Medical Facilities,Government,Civil Dispy.Surrani,Bannu,Bannu,Khyber Pakhtunkhwa,33.01624795,70.61780346,x
300-fac2,Basic Health Unit,Bhu,Government,Lalozai,Bannu,Bannu,Khyber Pakhtunkhwa,33.02304175,70.585152,Bhu
301-fac2,Dispensary,Medical Facilities,Government,Civil Disp. Kot Daim,Bannu,Bannu,Khyber Pakhtunkhwa,33.00128169,70.61141558,x
302-fac2,Basic Health Unit,Bhu,Government,Village Amandi,Bannu,Bannu,Khyber Pakhtunkhwa,33.00000134,70.58839984,Bhu
303-fac2,Basic Health Unit,Bhu,Government,Musher Bozi,Bannu,Bannu,Khyber Pakhtunkhwa,33.00819706,70.56254248,Bhu
304-fac2,Dispensary,Medical Facilities,Government,Civil Disp Sain,Bannu,Bannu,Khyber Pakhtunkhwa,32.99724911,70.54298839,x
305-fac2,Basic Health Unit,Bhu,Government,Mohammad Khel Wazir,Bannu,Bannu,Khyber Pakhtunkhwa,32.9858139,70.55052585,Bhu
306-fac2,Dispensary,Medical Facilities,Government,Civil Disp. Baka Khel Mandi,Bannu,Bannu,Khyber Pakhtunkhwa,32.97365764,70.50441859,x
307-fac2,Basic Health Unit,Bhu,Government,Haveed,Bannu,Bannu,Khyber Pakhtunkhwa,32.97991384,70.60826071,Bhu
308-fac2,Basic Health Unit,Bhu,Government,Khawaja Mad Mandan,Bannu,Bannu,Khyber Pakhtunkhwa,32.95599883,70.62759611,Bhu
309-fac2,Basic Health Unit,Bhu,Government,Bada Mir Abbas,Bannu,Bannu,Khyber Pakhtunkhwa,32.93822041,70.62458295,Bhu
310-fac2,Basic Health Unit,Bhu,Government,Fatma Khel,Bannu,Bannu,Khyber Pakhtunkhwa,32.93309675,70.65784435,Bhu
311-fac2,Basic Health Unit,Bhu,Government,Ismail Khel,Bannu,Bannu,Khyber Pakhtunkhwa,32.92747477,70.65314361,Bhu
312-fac2,Dispensary,Medical Facilities,Government,Civil Disp. Chappari,Bannu,Bannu,Khyber Pakhtunkhwa,32.92286959,70.66275339,x
313-fac2,Dispensary,Medical Facilities,Government,Civil Dispy.Zalim Mandan,Bannu,Bannu,Khyber Pakhtunkhwa,32.92839338,70.6265878,x
314-fac2,Basic Health Unit,Bhu,Government,Khujari Khas Killa,Bannu,Bannu,Khyber Pakhtunkhwa,32.89013406,70.66922753,Bhu
315-fac2,Basic Health Unit,Bhu,Government,Haji Sher Gul,Bannu,Bannu,Khyber Pakhtunkhwa,32.87098523,70.70432433,Bhu
316-fac2,Basic Health Unit,Bhu,Government,Nar Shuker Ullah,Bannu,Bannu,Khyber Pakhtunkhwa,32.83508265,70.71403108,Bhu
317-fac2,Rural Health Center,Rhc,Government,Kakki,Bannu,Bannu,Khyber Pakhtunkhwa,32.86955586,70.66737446,Rhc
318-fac2,Mch Centre,Mch,Government,Govt. Mch Centre Kakki,Bannu,Bannu,Khyber Pakhtunkhwa,32.8667607,70.65093374,x
319-fac2,Basic Health Unit,Bhu,Government,Hakim Bharat,Bannu,Bannu,Khyber Pakhtunkhwa,32.88443885,70.63850019,Bhu
320-fac2,Basic Health Unit,Bhu,Government,Zargar Mama Khel,Bannu,Bannu,Khyber Pakhtunkhwa,32.89815477,70.60720444,Bhu
321-fac2,Basic Health Unit,Bhu,Government,Lewan Dardaris,Bannu,Bannu,Khyber Pakhtunkhwa,32.88006746,70.5953208,Bhu
322-fac2,Basic Health Unit,Bhu,Government,Gul Akram Killa,Bannu,Bannu,Khyber Pakhtunkhwa,32.87755067,70.58890826,Bhu
323-fac2,Basic Health Unit,Bhu,Government,Mandew,Bannu,Bannu,Khyber Pakhtunkhwa,32.92072434,70.55979073,Bhu
324-fac2,Basic Health Unit,Bhu,Government,Norar,Bannu,Bannu,Khyber Pakhtunkhwa,32.90365057,70.5362966,Bhu
325-fac2,Basic Health Unit,Bhu,Government,Ghora Baka Khel,Bannu,Bannu,Khyber Pakhtunkhwa,32.90400962,70.51128397,Bhu
326-fac2,Dispensary,Medical Facilities,Government,Civil Disp. Sardi Khel,Bannu,Bannu,Khyber Pakhtunkhwa,32.84945063,70.54943435,x
327-fac2,Basic Health Unit,Bhu,Government,Manik Khel (U.C.Bazar Ahmad Khan),Bannu,Bannu,Khyber Pakhtunkhwa,32.86084913,70.48812459,Bhu
328-fac2,Dispensary,Medical Facilities,Government,Civil Disp. Wali Noor,Bannu,Bannu,Khyber Pakhtunkhwa,32.85979576,70.4501936,x
329-fac2,Basic Health Unit,Bhu,Government,Mamash Khel,Bannu,Bannu,Khyber Pakhtunkhwa,32.99933022,70.57256026,Bhu
330-fac2,Leprosy Centre,Medical Facilities,Government,Leprosy Clinic At Dhq Hospital Bannu,Bannu,Bannu,Khyber Pakhtunkhwa,32.97847001,70.61987349,x
331-fac2,Basic Health Unit,Bhu,Government,Spina Tangi Patolkhel Bhu Hospital,Domel,Bannu,Khyber Pakhtunkhwa,33.01766484,70.82263213,x
332-fac2,General Hospitals,Medical Facilities,Government,Khalifa Gul Nawaz Teaching Hospital Bannu,Domel,Bannu,Khyber Pakhtunkhwa,33.01556007,70.70886215,x
333-fac2,Tb,Medical Facilities,Government,Tb Clinic Bannu,Domel,Bannu,Khyber Pakhtunkhwa,33.01897562,70.69393724,x
334-fac2,Dispensary,Medical Facilities,Government,Civil Disp. Dabak Syed Khel,Domel,Bannu,Khyber Pakhtunkhwa,33.03348572,70.71675344,x
335-fac2,Rural Health Center,Rhc,Government,Domel,Domel,Bannu,Khyber Pakhtunkhwa,33.02083394,70.75957594,Rhc
336-fac2,Basic Health Unit,Bhu,Government,Musa Khel Walagai,Domel,Bannu,Khyber Pakhtunkhwa,33.00936149,70.87973752,Bhu
337-fac2,Basic Health Unit,Bhu,Government,Khalifa Gul Nawaz,Domel,Bannu,Khyber Pakhtunkhwa,32.93257453,70.937554,Bhu
338-fac2,Basic Health Unit,Bhu,Government,Baka Khel Sarwar Jan,Domel,Bannu,Khyber Pakhtunkhwa,32.95974975,70.87396003,Bhu
339-fac2,Dispensary,Medical Facilities,Government,Civil Disp. Maly Khan Killa,Domel,Bannu,Khyber Pakhtunkhwa,32.94308481,70.87442063,x
340-fac2,Basic Health Unit,Bhu,Government,Azim Killa,Domel,Bannu,Khyber Pakhtunkhwa,32.9220722,70.92379246,Bhu
341-fac2,Basic Health Unit,Bhu,Government,Patool Khel,Domel,Bannu,Khyber Pakhtunkhwa,32.88054035,70.94737254,Bhu
342-fac2,Basic Health Unit,Bhu,Government,Landi Jalander (Baktha Baz),Domel,Bannu,Khyber Pakhtunkhwa,32.88390113,70.92351137,Bhu
343-fac2,Basic Health Unit,Bhu,Government,Gadi Top,Domel,Bannu,Khyber Pakhtunkhwa,32.91930416,70.87482171,Bhu
344-fac2,Basic Health Unit,Bhu,Government,Paindi Khel(Nafeez Jan),Domel,Bannu,Khyber Pakhtunkhwa,32.96917903,70.80993806,Bhu
345-fac2,Basic Health Unit,Bhu,Government,Kotka Mohammad Khan,Domel,Bannu,Khyber Pakhtunkhwa,32.98460137,70.76969385,Bhu
346-fac2,Basic Health Unit,Bhu,Government,Bizan Khel,Domel,Bannu,Khyber Pakhtunkhwa,33.02368454,70.67881849,Bhu
347-fac2,General Hospitals,Medical Facilities,Government,Distt Jail Hospital Bannu,Domel,Bannu,Khyber Pakhtunkhwa,33.01345313,70.71355486,x
348-fac2,General Hospitals,Medical Facilities,Government,Hospital Allai,Alai,Batagram,Khyber Pakhtunkhwa,34.830273,73.064693,x
349-fac2,Basic Health Unit,Bhu,Government,Bateela,Alai,Batagram,Khyber Pakhtunkhwa,34.87231229,73.09558063,Bhu
350-fac2,Rural Health Center,Rhc,Government,Bana,Alai,Batagram,Khyber Pakhtunkhwa,34.83876797,73.06237104,Rhc
