Health Level,Admin 1,Admin 2,Level,Facility,UID,Facility Type,Link,Match,Latitude,Longitude
Health Facility,Azad Kashmir,Muzaffarabad,4,Bohoa,335-inv,Bhu,15585-fac2,Charhotta,34.35882586,73.44204741
Health Facility,Azad Kashmir,Muzaffarabad,4,Dagar,337-inv,Bhu,15598-fac2,Langar Pura,34.32137299,73.53975399
Health Facility,Azad Kashmir,Muzaffarabad,4,Essar,338-inv,Bhu,15566-fac2,Kassian Riat Hllal,34.12746419,73.64125848
Health Facility,Azad Kashmir,Muzaffarabad,4,Jatlan,339-inv,Bhu,15570-fac2,Chattar Kalas,34.20360234,73.50192723
Health Facility,Azad Kashmir,Muzaffarabad,4,Kanaily,340-inv,Bhu,15566-fac2,Kassian Riat Hllal,34.12746419,73.64125848
Health Facility,Azad Kashmir,Muzaffarabad,4,Kara Town,343-inv,Bhu,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Kathar,344-inv,Bhu,15617-fac2,Kathali,34.27826239,73.50987174
Health Facility,Azad Kashmir,Muzaffarabad,4,Khalial Abad,345-inv,Bhu,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Kharak,346-inv,Bhu,15568-fac2,Kharian,34.18967094,73.54274932
Health Facility,Azad Kashmir,Muzaffarabad,4,Mattri,347-inv,Bhu,15620-fac2,Awan Patti,34.25576465,73.64460396
Health Facility,Azad Kashmir,Muzaffarabad,4,Panyam,348-inv,Bhu,15606-fac2,Chamba Pangran,34.41506851,73.63008598
Health Facility,Azad Kashmir,Muzaffarabad,4,Ratta,350-inv,Bhu,15585-fac2,Charhotta,34.35882586,73.44204741
Health Facility,Azad Kashmir,Muzaffarabad,4,Safgala Himlat,352-inv,Bhu,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Samwal Sharif,354-inv,Bhu,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Siakh,356-inv,Bhu,15575-fac2,(Pinjra) Rajphian,34.51658233,73.4831155
Health Facility,Azad Kashmir,Muzaffarabad,4,Sorakhi,357-inv,Bhu,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Chatroh,360-inv,Cd,15588-fac2,Chater Domil,34.35365479,73.47212403
Health Facility,Azad Kashmir,Muzaffarabad,4,Raipur,361-inv,Cd,15565-fac2,Charik Pura,34.12475918,73.63700553
Health Facility,Azad Kashmir,Muzaffarabad,4,Bhu Khaman,362-inv,Epi Center,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Cd Chitter Pari,363-inv,Epi Center,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Dho Office,364-inv,Epi Center,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Dhq Hosp,365-inv,Epi Center,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,C 4,366-inv,Mch,15606-fac2,Chamba Pangran,34.41506851,73.63008598
Health Facility,Azad Kashmir,Muzaffarabad,4,New City Teching Hosp,369-inv,x,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Chakswari,370-inv,Rhc,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Islam Gharh,371-inv,Rhc,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Khadim Abad,372-inv,Rhc,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Pindi Suberwal,373-inv,Rhc,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Dadyal,375-inv,Thq Hosp,15622-fac2,Hurayala,34.24363913,73.6953366
District,Azad Kashmir,Muzaffarabad,3,Mirpur,376-inv,District Store,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Muzaffarabad,4,Aims Muzaffarabad,383-inv,x,0-x,District,34.3151,73.69
Health Facility,Azad Kashmir,Neelum,4,Anwar Shareef,384-inv,Bhu,0-x,District,34.791,74.5573
Health Facility,Azad Kashmir,Neelum,4,Awan Patti,385-inv,Bhu,0-x,District,34.791,74.5573
Health Facility,Azad Kashmir,Neelum,4,Barakot,386-inv,Bhu,0-x,District,34.791,74.5573
Health Facility,Azad Kashmir,Neelum,4,Bheri,387-inv,Bhu,15641-fac2,Biari Duwarian,34.72777147,74.00782104
Health Facility,Azad Kashmir,Neelum,4,Butdara,389-inv,Bhu,15641-fac2,Biari Duwarian,34.72777147,74.00782104
Health Facility,Azad Kashmir,Neelum,4,Buttel,392-inv,Bhu,317-fac1,Taw Butt,0,0
Health Facility,Azad Kashmir,Neelum,4,Charak Pura,393-inv,Bhu,0-x,District,34.791,74.5573
Health Facility,Azad Kashmir,Neelum,4,Chatter Klass,394-inv,Bhu,0-x,District,34.791,74.5573
Health Facility,Azad Kashmir,Neelum,4,City,395-inv,Bhu,15627-fac2,Hilmat,34.751994,74.667396
Health Facility,Azad Kashmir,Neelum,4,Douchar Miran,396-inv,Bhu,0-x,District,34.791,74.5573
Health Facility,Azad Kashmir,Neelum,4,Kohala,397-inv,Bhu,15629-fac2,Katha Chogali,34.43052809,73.77202743
Health Facility,Azad Kashmir,Neelum,4,Komi Kot,398-inv,Bhu,0-x,District,34.791,74.5573
Health Facility,Azad Kashmir,Neelum,4,Konkan,400-inv,Bhu,0-x,District,34.791,74.5573
